Date,BTC-USD,SPY,QQQ,AAPL,PG,GLD,EURUSD=X
2018-01-01,14112.2001953125,,,,,,1.200494647026062
2018-01-02,13625.0,235.74358610597346,148.39282633839383,39.7761820981515,73.29334542359902,124.66000366210938,1.2010858058929443
2018-01-03,14978.2001953125,236.72936705656858,150.36433548442506,40.33019497342311,72.34450119399267,125.05000305175781,1.2061998844146729
2018-01-04,15270.7001953125,238.70099949537035,152.20312371561604,40.33252097704683,72.42426363405359,124.88999938964844,1.2011290788650513
2018-01-05,15477.2001953125,239.85401408255126,152.66760126849624,40.54292003219282,72.77507950612711,124.93000030517578,1.2066218852996826
2018-01-06,17462.099609375,,,,,,
2018-01-07,17527.30078125,,,,,,
2018-01-08,16476.19921875,240.5581013991269,153.4732032662687,40.75563430786133,72.50398043652213,125.19999694824219,1.203948974609375
2018-01-09,15123.7001953125,241.517510954642,154.37364481042138,40.802376800591794,72.93454500537743,124.48999786376953,1.1969597339630127
2018-01-10,14588.5,240.88381247686453,153.3974055341179,40.47746402207704,72.48801693982305,125.16999816894531,1.1929330825805664
2018-01-11,14968.2001953125,241.825564426552,153.98505460556953,40.81173298285246,72.08134378020715,125.37000274658203,1.1954858303070068
2018-01-12,13453.900390625,243.2954586087151,154.6390865975742,41.18340935111223,71.8022946274948,126.01000213623047,1.2042099237442017
2018-01-13,13952.400390625,,,,,,
2018-01-14,14370.7998046875,,,,,,
2018-01-15,13767.2998046875,,,,,,1.2193039655685425
2018-01-16,13836.099609375,245.8742631251526,156.94230230725148,41.58546096764788,71.87406828747505,126.5999984741211,1.2269939184188843
2018-01-17,11431.099609375,244.71255994218367,156.20296572448808,41.176394373281866,72.20891315505496,126.7699966430664,1.227144479751587
2018-01-18,11198.7998046875,245.9887062235787,156.8948894530521,41.929094823419305,72.50232882595947,126.12999725341797,1.218145489692688
2018-01-19,11429.7998046875,246.27041209526817,157.63416381246864,41.75143564894141,72.53446434461732,126.56999969482422,1.223585844039917
2018-01-20,11656.2001953125,,,,,,
2018-01-21,12889.2001953125,,,,,,
2018-01-22,11633.099609375,246.5961391273181,157.60578199317771,41.44521571876117,73.01651280141874,126.51000213623047,1.2255953550338745
2018-01-23,10944.5,248.85805580664078,159.84267142988645,41.44521681046371,72.16487936630968,126.52999877929688,1.225730538368225
2018-01-24,10903.400390625,249.98468212184525,161.0084933004039,41.433527740131495,71.55426218331328,128.38999938964844,1.2309662103652954
2018-01-25,11421.7001953125,250.10793928909638,160.72416833598345,40.793015407545305,71.24897967156053,128.69000244140625,1.23960280418396
2018-01-26,11256.0,250.18720098591655,160.45876735743664,40.20630887024904,70.83921915575658,128.24000549316406,1.239234209060669
2018-01-27,11174.900390625,,,,,,
2018-01-28,11475.2998046875,,,,,,
2018-01-29,11755.5,251.66577415032683,161.67195381284975,39.77617524811732,70.4535607912142,127.58000183105469,1.2428226470947266
2018-01-30,11306.7998046875,248.7348499334868,159.75741260407804,38.693890842913504,69.75456394043891,127.91000366210938,1.238175392150879
2018-01-31,10108.2001953125,248.84932718998905,160.79997721763561,39.007123526143936,69.74654434909999,127.44999694824219,1.2408334016799927
2018-02-01,10237.2998046875,247.38813944651108,159.33083149942797,39.077256358536815,69.21626913047803,127.18000030517578,1.2417423725128174
2018-02-02,9142.2802734375,246.51685703921194,158.5725473524017,38.80375196035035,68.74220754373653,126.80999755859375,1.2512669563293457
2018-02-03,8852.1201171875,,,,,,
2018-02-04,9175.7001953125,,,,,,
2018-02-05,8270.5400390625,240.68136600719666,154.5632326079805,37.19083407744985,67.48083886960215,126.81999969482422,1.2447099685668945
2018-02-06,7051.75,228.7903613429874,147.68194676290503,36.192689296369814,64.70094073364547,126.54000091552734,1.2368277311325073
2018-02-07,7755.490234375,236.32459647468235,153.34995043155294,38.12352610597919,66.12302816885354,125.4800033569336,1.2381447553634644
2018-02-08,7637.85986328125,235.89325141817721,152.24101781321542,37.46899643189285,65.90611972706289,124.91999816894531,1.2268433570861816
2018-02-09,8271.83984375,229.5472489990059,147.5018319142129,36.86599613070262,65.06248775857976,124.6500015258789,1.2260762453079224
2018-02-10,8720.080078125,,,,,,
2018-02-11,8616.1298828125,,,,,,
2018-02-12,8141.43017578125,232.2141386358816,149.473312138296,37.20163266035302,64.76523464608981,125.19000244140625,1.2253400087356567
2018-02-13,8926.7197265625,232.33737939762483,149.71977975116891,38.01137241019179,65.19906799653917,125.66999816894531,1.2301182746887207
2018-02-14,8599.919921875,232.63669031911442,150.46859365321387,38.267211068093054,65.12675384839844,126.47000122070312,1.2352999448776245
2018-02-15,9488.3203125,239.0266869632627,155.5773970031958,39.85151934431027,65.05446390418226,128.42999267578125,1.2467117309570312
2018-02-16,10135.7001953125,239.68673797361885,156.54419333494633,40.454721563931344,66.05071873204938,128.3000030517578,1.250734806060791
2018-02-17,10207.5,,,,,,
2018-02-18,11123.400390625,,,,,,
2018-02-19,10552.599609375,,,,,,1.241187572479248
2018-02-20,11231.7998046875,239.43155354996446,155.8048866191861,40.381967200086905,66.03465074391302,127.27999877929688,1.2399102449417114
2018-02-21,11372.2001953125,239.31707860169553,157.4351495465662,40.56503641863772,65.32762846865823,126.36000061035156,1.233547568321228
2018-02-22,10660.400390625,238.61292237749535,156.90443662159848,40.32329023698601,64.65272848187873,125.91999816894531,1.2280335426330566
2018-02-23,9937.0703125,239.22025999611984,157.46364210677353,40.76219058627438,65.08659034447624,126.05999755859375,1.2326048612594604
2018-02-24,10287.7001953125,,,,,,
2018-02-25,9796.419921875,,,,,,
2018-02-26,9669.4296875,242.8641557031754,160.14598068480566,41.391216287340875,65.44010515873545,126.44999694824219,1.2288333177566528
