Date,BTC-USD,SPY,QQQ,AAPL,PG,GLD,EURUSD=X
2018-01-01,,,,,,,
2018-01-02,0.0925892597121414,,,,,,0.0005523534177722327
2018-01-03,0.014505086054969111,0.006305234954164651,0.009669845436879319,-0.00017394842018444588,-0.0012140604139321614,-0.0026403330092135157,0.004309459786959923
2018-01-04,0.02585842824803167,0.00420614889645527,0.0017480603117590754,0.004633959690630574,0.007044207492428059,0.005114278310262769,-0.0044055338609388685
2018-01-05,0.11094452953729485,0.006641961282814562,0.009993171203562162,0.011321364708876085,0.0006575396045736672,-0.001036702137934486,0.004851896369631849
2018-01-06,0.005578376143830052,,,,,,
2018-01-07,-0.061740689989334026,,,,,,
2018-01-08,-0.08267549955484522,0.0018268743294185283,0.0038829774768541795,-0.003721313094218543,0.005247104753262407,-0.0001596255390370604,-0.0026034254630769985
2018-01-09,-0.03861992220665626,0.0022609918904383536,6.150058761740178e-05,-0.0001149464989900469,-0.007331779292694362,-0.004639219643041588,-0.005581836821075154
2018-01-10,0.025562164635524225,-0.0015309605996581027,-0.0023401817158969574,-0.0002292772230519394,-0.0063906361131680755,0.002402270692406848,-0.003441541320087566
2018-01-11,-0.11058116741362263,0.007269454630040998,0.006820820899489792,0.0056640828490651446,-0.003543597401167696,0.003273877321212141,0.0022451934756694413
2018-01-12,0.04198319183702074,0.0064978368984592695,0.007322343358131497,0.010273434255546592,-0.006007681984475437,0.012044492942167013,0.007163443657419456
2018-01-13,0.02678987830152579,,,,,,
2018-01-14,-0.04182295922437423,,,,,,
2018-01-15,0.0034647868456980165,,,,,,0.012395577440172478
2018-01-16,-0.18458172530715175,-0.0034244543792805063,-0.0028615926323539227,-0.005095366829908225,0.006784414756328701,0.001652690627169873,0.0062252298447128904
2018-01-17,-0.02662523913776235,0.009487019133628963,0.010733313236577275,0.01638159115329217,0.010803094206712044,-0.008132363237354055,0.00023307764364815267
2018-01-18,0.025266707476315743,-0.0016826498339142814,0.00018107946811731683,0.0008929110347171711,-0.0036521699203913064,-0.002222213448585594,-0.007140809171959861
2018-01-19,0.011480784055017625,0.004539627911445912,0.0031307376459680874,-0.004472823827220886,0.009820723597113215,0.0044394996120163946,0.004310183172470693
2018-01-20,0.10552244967375776,,,,,,
2018-01-21,-0.10615162399161542,,,,,,
2018-01-22,-0.05937426753876515,0.008098243302885865,0.010644446761145458,-0.008214746014390758,0.008963577468141293,0.0018177059354296304,0.0015430167694837121
2018-01-23,-0.005779885423653502,0.00211987812965007,0.008233917326155351,0.00022595158693909418,-0.03139402452247412,0.004961985943158681,6.12782288566978e-05
2018-01-24,0.04418609725643604,-0.0003883651958408376,-0.006510444562978621,-0.016056793977400636,-0.00834474704372066,0.012104345577545294,0.00439735155950313
2018-01-25,-0.008842259367552611,0.00042373596503712503,-0.0003562380269848093,-0.018012623099817136,0.00033995029011375295,-0.006697849027902464,0.006545840132911253
2018-01-26,-0.007846394102556208,0.011511518500029377,0.015208927183217145,0.0023354967233177493,-0.006929078890388676,0.0007811756386790387,9.918292422570005e-05
