ticker,Buy and Hold,EMA Long/Cash,ARIMA Long/Cash
AAPL,-0.3336,-0.2142,-0.3336
BTC-USD,-0.5121,-0.2761,-0.3317
EURUSD=X,-0.0884,-0.0629,-0.0838
GLD,-0.2446,-0.2544,-0.2446
PG,-0.2115,-0.2428,-0.1176
QQQ,-0.2277,-0.1619,-0.2277
SPY,-0.1876,-0.0953,-0.0888
