ticker,asset_name,strategy,regime_type,regime,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,n_observations
QQQ,Nasdaq 100 ETF,MA Long/Cash optimized,Volatilidad,Alta volatilidad,0.2039,0.2397,0.1908,1.256,-0.1052,217
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Tendencia,Alcista,1.1011,0.2811,0.1645,1.7091,-0.1356,753
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Tendencia,Bajista,0.0391,0.2976,0.1594,1.8673,-0.0543,37
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Tendencia,Lateral,-0.1042,-0.2985,0.3177,-0.9397,-0.1747,78
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Volatilidad,Baja volatilidad,0.3809,0.453,0.1283,3.5302,-0.0617,217
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Volatilidad,Volatilidad media,0.2211,0.1226,0.1633,0.7504,-0.1112,434
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Volatilidad,Alta volatilidad,0.1598,0.1873,0.2544,0.7362,-0.2103,217
AAPL,Apple,Buy and Hold,Tendencia,Alcista,0.9763,0.315,0.2189,1.4391,-0.1405,625
AAPL,Apple,Buy and Hold,Tendencia,Bajista,0.2222,0.4825,0.2496,1.9334,-0.0834,128
AAPL,Apple,Buy and Hold,Tendencia,Lateral,-0.0363,-0.0776,0.3943,-0.1968,-0.253,115
AAPL,Apple,Buy and Hold,Volatilidad,Baja volatilidad,-0.0087,-0.0101,0.1625,-0.0623,-0.2153,217
AAPL,Apple,Buy and Hold,Volatilidad,Volatilidad media,0.9769,0.4836,0.2198,2.2003,-0.1325,434
AAPL,Apple,Buy and Hold,Volatilidad,Alta volatilidad,0.1878,0.2205,0.3656,0.6032,-0.3168,217
AAPL,Apple,MA Long/Cash optimized,Tendencia,Alcista,0.4366,0.1568,0.2023,0.7747,-0.201,625
AAPL,Apple,MA Long/Cash optimized,Tendencia,Bajista,-0.0594,-0.1132,0.0591,-1.9154,-0.0594,128
AAPL,Apple,MA Long/Cash optimized,Tendencia,Lateral,0.1569,0.375,0.1569,2.3897,-0.0441,115
AAPL,Apple,MA Long/Cash optimized,Volatilidad,Baja volatilidad,-0.0118,-0.0137,0.1291,-0.1061,-0.1788,217
AAPL,Apple,MA Long/Cash optimized,Volatilidad,Volatilidad media,0.4711,0.2504,0.1878,1.3329,-0.1871,434
AAPL,Apple,MA Long/Cash optimized,Volatilidad,Alta volatilidad,0.0754,0.0878,0.2144,0.4095,-0.1864,217
AAPL,Apple,ARIMA Long/Cash,Tendencia,Alcista,0.6968,0.2368,0.2013,1.1763,-0.1405,625
AAPL,Apple,ARIMA Long/Cash,Tendencia,Bajista,0.0956,0.1963,0.2115,0.9281,-0.0834,128
AAPL,Apple,ARIMA Long/Cash,Tendencia,Lateral,-0.0648,-0.1362,0.3748,-0.3633,-0.2503,115
AAPL,Apple,ARIMA Long/Cash,Volatilidad,Baja volatilidad,-0.0727,-0.0837,0.155,-0.5397,-0.2153,217
AAPL,Apple,ARIMA Long/Cash,Volatilidad,Volatilidad media,0.9006,0.4502,0.187,2.4076,-0.1262,434
AAPL,Apple,ARIMA Long/Cash,Volatilidad,Alta volatilidad,-0.0135,-0.0156,0.3506,-0.0446,-0.3421,217
PG,Procter & Gamble,Buy and Hold,Tendencia,Alcista,0.298,0.1564,0.1536,1.0183,-0.0899,451
PG,Procter & Gamble,Buy and Hold,Tendencia,Bajista,-0.0972,-0.0937,0.1787,-0.5245,-0.1667,261
PG,Procter & Gamble,Buy and Hold,Tendencia,Lateral,-0.0684,-0.1079,0.2056,-0.5247,-0.2251,156
PG,Procter & Gamble,Buy and Hold,Volatilidad,Baja volatilidad,0.1087,0.1268,0.124,1.0227,-0.076,217
PG,Procter & Gamble,Buy and Hold,Volatilidad,Volatilidad media,0.0218,0.0126,0.1611,0.078,-0.1539,434
PG,Procter & Gamble,Buy and Hold,Volatilidad,Alta volatilidad,-0.0364,-0.042,0.2252,-0.1866,-0.2163,217
PG,Procter & Gamble,MA Long/Cash optimized,Tendencia,Alcista,0.0417,0.023,0.1413,0.1627,-0.1174,451
PG,Procter & Gamble,MA Long/Cash optimized,Tendencia,Bajista,-0.0728,-0.0701,0.0503,-1.3953,-0.0728,261
PG,Procter & Gamble,MA Long/Cash optimized,Tendencia,Lateral,-0.1205,-0.1869,0.1429,-1.3078,-0.1776,156
PG,Procter & Gamble,MA Long/Cash optimized,Volatilidad,Baja volatilidad,0.1374,0.1607,0.1093,1.4704,-0.053,217
PG,Procter & Gamble,MA Long/Cash optimized,Volatilidad,Volatilidad media,-0.0763,-0.0449,0.1103,-0.4073,-0.205,434
PG,Procter & Gamble,MA Long/Cash optimized,Volatilidad,Alta volatilidad,-0.1915,-0.2181,0.1509,-1.4458,-0.2648,217
PG,Procter & Gamble,ARIMA Long/Cash,Tendencia,Alcista,0.2003,0.1071,0.1406,0.7612,-0.0972,451
PG,Procter & Gamble,ARIMA Long/Cash,Tendencia,Bajista,0.0768,0.0738,0.0944,0.7816,-0.0557,261
PG,Procter & Gamble,ARIMA Long/Cash,Tendencia,Lateral,-0.0377,-0.06,0.1634,-0.3672,-0.1405,156
PG,Procter & Gamble,ARIMA Long/Cash,Volatilidad,Baja volatilidad,0.0232,0.0269,0.1142,0.2359,-0.076,217
PG,Procter & Gamble,ARIMA Long/Cash,Volatilidad,Volatilidad media,0.1862,0.1039,0.1249,0.8319,-0.1176,434
PG,Procter & Gamble,ARIMA Long/Cash,Volatilidad,Alta volatilidad,0.0247,0.0287,0.1639,0.1751,-0.1333,217
GLD,Gold ETF,Buy and Hold,Tendencia,Alcista,1.3729,0.3209,0.1991,1.6121,-0.1921,780
GLD,Gold ETF,Buy and Hold,Tendencia,Bajista,,,,,,0
GLD,Gold ETF,Buy and Hold,Tendencia,Lateral,-0.0356,-0.0984,0.1894,-0.5197,-0.1311,88
GLD,Gold ETF,Buy and Hold,Volatilidad,Baja volatilidad,0.3989,0.4749,0.109,4.3567,-0.0808,217
GLD,Gold ETF,Buy and Hold,Volatilidad,Volatilidad media,0.8401,0.4233,0.1595,2.6546,-0.0894,434
GLD,Gold ETF,Buy and Hold,Volatilidad,Alta volatilidad,-0.111,-0.1274,0.3065,-0.4155,-0.2509,217
GLD,Gold ETF,MA Long/Cash optimized,Tendencia,Alcista,1.0104,0.2522,0.1918,1.3149,-0.2544,780
GLD,Gold ETF,MA Long/Cash optimized,Tendencia,Bajista,,,,,,0
GLD,Gold ETF,MA Long/Cash optimized,Tendencia,Lateral,0.0412,0.122,0.117,1.0433,-0.0733,88
GLD,Gold ETF,MA Long/Cash optimized,Volatilidad,Baja volatilidad,0.4032,0.4802,0.0988,4.8597,-0.0446,217
GLD,Gold ETF,MA Long/Cash optimized,Volatilidad,Volatilidad media,0.7472,0.3813,0.1573,2.4238,-0.0936,434
GLD,Gold ETF,MA Long/Cash optimized,Volatilidad,Alta volatilidad,-0.1462,-0.1673,0.2793,-0.5989,-0.2544,217
GLD,Gold ETF,ARIMA Long/Cash,Tendencia,Alcista,1.2995,0.3076,0.1975,1.5576,-0.1921,780
GLD,Gold ETF,ARIMA Long/Cash,Tendencia,Bajista,,,,,,0
