case_name,ticker,initial_capital,final_capital_indicator,indicator_total_return,indicator_max_drawdown,strong_entries,moderate_entries,against_regime_entries,atr_stop_exits,trailing_atr_exits,ema_cross_exits,rsi_loss_exits,total_entries,total_exits,total_exit_cost,buy_hold_initial_price,buy_hold_final_price,final_capital_buy_hold,buy_hold_total_return,buy_hold_max_drawdown,capital_difference,return_difference,drawdown_reduction,best_strategy
BTC 4H,BTC-USD,10000,13264.658668378619,0.32646586683786194,-0.10625928743349222,18,17,10,4,27,2,12,45,45,362.61153820863467,65138.71484375,62760.30078125,9634.869360225302,-0.036513063977469784,-0.5195106546188079,3629.7893081533166,0.3629789308153317,0.41325136718531563,Indicador TradingView
SPY 1D,SPY,10000,13747.471560356566,0.37474715603565656,-0.08894590277963499,20,2,1,2,12,1,7,23,22,245.820446712607,380.82000732421875,746.739990234375,19608.738403248415,0.9608738403248416,-0.1899890412950489,-5861.26684289185,-0.586126684289185,0.10104313851541391,Buy and Hold
PG 1D,PG,10000,9513.568238543123,-0.048643176145687694,-0.11477992238335488,6,7,4,0,8,3,5,17,16,101.85288198841344,151.57000732421875,150.3800048828125,9921.488263910896,-0.007851173608910411,-0.23183085347579846,-407.92002536777363,-0.04079200253677728,0.11705093109244358,Buy and Hold
