ticker,Buy and Hold,EMA Long/Cash,ARIMA Long/Cash
AAPL,1.3325,0.5666,0.3416
BTC-USD,2.7936,1.9428,2.2784
EURUSD=X,0.0753,0.0285,-0.0381
GLD,1.282,1.0931,0.9715
PG,0.086,-0.1549,0.0917
QQQ,1.8351,1.0946,0.8734
SPY,1.0368,0.7004,0.8064
